epoch,train_loss,val_loss,lr
1,0.896372690288858,0.7240833953022957,0.000189769820971867
2,0.7043050793422894,0.6690471902489662,0.0002797953964194373
3,0.6675016983327541,0.6337268501520157,0.00036982097186700764
4,0.6495294267819687,0.6283006489276886,0.000459846547314578
5,0.6378936467861588,0.6335723489522934,0.0005498721227621484
6,0.6334864739328623,0.6053594201803207,0.0006398976982097187
7,0.6230479697273537,0.6143413186073303,0.000729923273657289
8,0.6218536511402238,0.5886710777878761,0.0008199488491048594
9,0.6120519467036832,0.6128337889909744,0.0009099744245524297
10,0.6117303469641642,0.5694855056703091,0.001
11,0.6029723843728955,0.5822561219334602,0.0009996974252406852
12,0.5983383940024809,0.5843120947480201,0.0009987866193762968
13,0.5934291266920891,0.5827850989997387,0.0009972686896973415
14,0.5894385013221339,0.5614049151539803,0.0009951454856840596
15,0.5880473466082052,0.5668106995522976,0.0009924195942967865
16,0.5812601442872123,0.5633873626589775,0.0009890943368239388
17,0.5819731158289042,0.5575694993138314,0.0009851737648352813
18,0.5796646278520877,0.5612075939774513,0.000980662655245402
19,0.5766395931555466,0.5621454291045666,0.0009755665044934097
20,0.574552240781486,0.5526747360825539,0.0009698915218459467
21,0.56968633974479,0.5534166112542153,0.0009636446218316774
22,0.5698867246339266,0.5464860126376152,0.0009568334158164668
23,0.5679610737345435,0.5546495512127876,0.0009494662027295197
24,0.5647419356656346,0.5490889392793179,0.0009415519589517743
25,0.5634560466490008,0.5364903375506401,0.0009331003273788755
26,0.5655519646507773,0.5456535130739212,0.000924121605672049
27,0.5617582296783273,0.5446934454143048,0.0009146267337111971
28,0.5594924487681552,0.5449908323585987,0.0009046272802654969
29,0.560545792633837,0.5433888040482998,0.0008941354288977478
30,0.558228384618732,0.536252198368311,0.0008831639631196415
31,0.5584344177252867,0.543104401230812,0.0008717262508160365
32,0.556261735629629,0.5331655450165271,0.0008598362279572234
33,0.5535670969296586,0.5349856145679951,0.0008475083816190188
34,0.552891084162349,0.5350567810237408,0.0008347577323313812
35,0.5521558757702058,0.5357527427375317,0.0008215998157770533
36,0.5546422474594279,0.527821858972311,0.0008080506638625319
37,0.5490410382944074,0.528606367111206,0.0007941267851844249
38,0.5511400818147443,0.5349685423076153,0.0007798451449150004
39,0.5489874610000036,0.5299216940999031,0.0007652231441314326
40,0.5524491211399436,0.5289127916097641,0.0007502785986139314
41,0.5511391949416562,0.537762989103794,0.0007350297171385882
42,0.5475903500548818,0.5287882432341575,0.0007194950792913867
43,0.5461057179861448,0.5351276598870754,0.00070369361283041
44,0.545507510531355,0.5264480419456958,0.0006876445706238282
45,0.5453309471803632,0.528374258428812,0.0006713675071917617
46,0.5470221289010211,0.5324792064726352,0.0006548822548806084
47,0.5434522581371394,0.538349898904562,0.0006382088996988587
48,0.5426931802014058,0.5305766962468624,0.0006213677568438423
49,0.5406812838363376,0.5301360577344895,0.0006043793459492284
